Club,Season,Expenditure,Arrivals,Income,Departures,Balance,League
LOSC Lille,15/16,12900000,31,35250000,20,22350000,Ligue1
FC Girondins Bordeaux,15/16,11000000,15,22300000,15,11300000,Ligue1
FC Lorient,15/16,9930000,18,18500000,17,8570000,Ligue1
FC Nantes,15/16,7000000,15,17550000,17,10550000,Ligue1
SM Caen,15/16,6050000,23,14000000,18,7950000,Ligue1
Stade Rennais FC,15/16,5640000,28,10600000,20,4960000,Ligue1
OGC Nice,15/16,4100000,28,14000000,23,9900000,Ligue1
FC Toulouse,15/16,2900000,13,10500000,14,7600000,Ligue1
Montpellier HSC,15/16,2730000,13,4000000,10,1270000,Ligue1
Stade Reims,15/16,2400000,14,1500000,13,-900000,Ligue1
EA Guingamp,15/16,1950000,19,6000000,15,4050000,Ligue1
ESTAC Troyes,15/16,300000,19,7300000,23,7000000,Ligue1
SC Bastia,15/16,0,15,1700000,18,1700000,Ligue1
Angers SCO,15/16,0,29,5900000,23,5900000,Ligue1
GFC Ajaccio,15/16,0,9,0,12,0,Ligue1
Paris Saint-Germain,16/17,134500000,21,59800000,15,-74700000,Ligue1
Olympique Marseille,16/17,53000000,31,81490000,31,28490000,Ligue1
AS Monaco,16/17,50500000,35,18450000,29,-32050000,Ligue1
Olympique Lyon,16/17,28600000,17,27300000,13,-1300000,Ligue1
LOSC Lille,16/17,20700000,27,47000000,31,26300000,Ligue1
OGC Nice,16/17,15250000,25,15800000,22,550000,Ligue1
FC Toulouse,16/17,13000000,23,10000000,18,-3000000,Ligue1
FC Girondins Bordeaux,16/17,11850000,18,2600000,17,-9250000,Ligue1
FC Lorient,16/17,8600000,31,32150000,20,23550000,Ligue1
AS Saint-?tienne,16/17,7000000,18,2250000,18,-4750000,Ligue1
Montpellier HSC,16/17,6400000,15,19400000,18,13000000,Ligue1
Angers SCO,16/17,5200000,25,4400000,22,-800000,Ligue1
FC Nantes,16/17,5000000,14,2650000,14,-2350000,Ligue1
SM Caen,16/17,4250000,14,11000000,12,6750000,Ligue1
Dijon FCO,16/17,3150000,18,1250000,16,-1900000,Ligue1
AS Nancy-Lorraine,16/17,2300000,14,10900000,11,8600000,Ligue1
Stade Rennais FC,16/17,2270000,28,55300000,22,53030000,Ligue1
FC Metz,16/17,400000,31,775000,30,375000,Ligue1
SC Bastia,16/17,250000,22,7000000,25,6750000,Ligue1
EA Guingamp,16/17,0,18,7000000,18,7000000,Ligue1
Paris Saint-Germain,17/18,238000000,18,98400000,15,-139600000,Ligue1
AS Monaco,17/18,122400000,35,199500000,23,77100000,Ligue1
LOSC Lille,17/18,76500000,36,31100000,31,-45400000,Ligue1
Olympique Marseille,17/18,62000000,21,2750000,22,-59250000,Ligue1
Olympique Lyon,17/18,58050000,28,119550000,22,61500000,Ligue1
Stade Rennais FC,17/18,53900000,26,15800000,23,-38100000,Ligue1
FC Girondins Bordeaux,17/18,32600000,30,28250000,25,-4350000,Ligue1
OGC Nice,17/18,26300000,20,27500000,21,1200000,Ligue1
AS Saint-?tienne,17/18,19300000,24,15500000,25,-3800000,Ligue1
Angers SCO,17/18,12400000,24,26000000,23,13600000,Ligue1
FC Nantes,17/18,11300000,17,10000000,13,-1300000,Ligue1
SM Caen,17/18,6950000,23,6000000,18,-950000,Ligue1
Amiens SC,17/18,6630000,24,8000000,20,1370000,Ligue1
Montpellier HSC,17/18,5700000,15,20800000,19,15100000,Ligue1
Dijon FCO,17/18,5500000,16,15000000,16,9500000,Ligue1
RC Strasbourg Alsace,17/18,5400000,16,2000000,18,-3400000,Ligue1
FC Metz,17/18,3600000,28,22850000,26,19250000,Ligue1
FC Toulouse,17/18,3500000,12,13000000,18,9500000,Ligue1
EA Guingamp,17/18,1380000,19,5950000,16,4570000,Ligue1
ESTAC Troyes,17/18,0,11,0,14,0,Ligue1
Paris Saint-Germain,18/19,262000000,26,114000000,18,-148000000,Ligue1
AS Monaco,18/19,145850000,51,367250000,33,221400000,Ligue1
Olympique Marseille,18/19,66000000,16,32850000,11,-33150000,Ligue1
Olympique Lyon,18/19,46450000,22,90100000,17,43650000,Ligue1
OGC Nice,18/19,28000000,15,61700000,12,33700000,Ligue1
FC Girondins Bordeaux,18/19,21460000,25,50700000,23,29240000,Ligue1
FC Toulouse,18/19,18450000,26,35500000,20,17050000,Ligue1
Stade Rennais FC,18/19,18000000,24,18500000,17,500000,Ligue1
RC Strasbourg Alsace,18/19,15750000,17,14000000,15,-1750000,Ligue1
Stade Reims,18/19,15500000,21,11000000,17,-4500000,Ligue1
AS Saint-?tienne,18/19,15000000,28,18700000,24,3700000,Ligue1
FC Nantes,18/19,14350000,19,11200000,23,-3150000,Ligue1
Montpellier HSC,18/19,10150000,16,25500000,11,15350000,Ligue1
SM Caen,18/19,9950000,30,14500000,30,4550000,Ligue1
Dijon FCO,18/19,9200000,16,4000000,15,-5200000,Ligue1
LOSC Lille,18/19,8900000,19,69700000,22,60800000,Ligue1
Amiens SC,18/19,7490000,27,10000000,32,2510000,Ligue1
Angers SCO,18/19,4450000,26,21000000,21,16550000,Ligue1
EA Guingamp,18/19,3500000,18,4000000,14,500000,Ligue1
N?mes Olympique,18/19,3150000,14,0,11,-3150000,Ligue1
AS Monaco,19/20,200000000,53,83750000,42,-116250000,Ligue1
Olympique Lyon,19/20,126000000,19,160320000,16,34320000,Ligue1
LOSC Lille,19/20,99400000,24,151000000,18,51600000,Ligue1
Paris Saint-Germain,19/20,95000000,24,105900000,19,10900000,Ligue1
Stade Rennais FC,19/20,58100000,27,54500000,23,-3600000,Ligue1
OGC Nice,19/20,52200000,20,23110000,19,-29090000,Ligue1
Olympique Marseille,19/20,27000000,12,27250000,13,250000,Ligue1
Montpellier HSC,19/20,20300000,18,40000000,17,19700000,Ligue1
FC Nantes,19/20,18750000,27,38500000,22,19750000,Ligue1
Stade Reims,19/20,18700000,20,26600000,21,7900000,Ligue1
Amiens SC,19/20,18150000,30,5440000,25,-12710000,Ligue1
FC Girondins Bordeaux,19/20,17000000,22,62250000,20,45250000,Ligue1
FC Metz,19/20,14350000,27,2600000,20,-11750000,Ligue1
FC Toulouse,19/20,14000000,26,17150000,22,3150000,Ligue1
AS Saint-?tienne,19/20,13450000,34,45850000,20,32400000,Ligue1
RC Strasbourg Alsace,19/20,11000000,11,21500000,14,10500000,Ligue1
Dijon FCO,19/20,10470000,17,24500000,19,14030000,Ligue1
Angers SCO,19/20,10400000,23,34000000,19,23600000,Ligue1
N?mes Olympique,19/20,9850000,18,20500000,19,10650000,Ligue1
Stade Brestois 29,19/20,7500000,15,500000,15,-7000000,Ligue1
Stade Rennais FC,20/21,70560000,24,55420000,24,-15140000,Ligue1
Paris Saint-Germain,20/21,62000000,21,400000,19,-61600000,Ligue1
AS Monaco,20/21,52700000,48,13530000,33,-39170000,Ligue1
LOSC Lille,20/21,40430000,25,104180000,14,63750000,Ligue1
Olympique Lyon,20/21,36690000,21,50600000,22,13910000,Ligue1
OGC Nice,20/21,29230000,35,20510000,29,-8720000,Ligue1
FC Lorient,20/21,26500000,26,6500000,22,-20000000,Ligue1
RC Lens,20/21,19000000,19,0,19,-19000000,Ligue1
Olympique Marseille,20/21,17420000,16,32050000,16,14630000,Ligue1
Stade Brestois 29,20/21,16100000,19,12000000,18,-4100000,Ligue1
Dijon FCO,20/21,15800000,22,17000000,21,1200000,Ligue1
FC Metz,20/21,14700000,26,10000000,22,-4700000,Ligue1
Montpellier HSC,20/21,13100000,12,0,8,-13100000,Ligue1
RC Strasbourg Alsace,20/21,12000000,10,500000,9,-11500000,Ligue1
N?mes Olympique,20/21,11250000,14,2500000,8,-8750000,Ligue1
Angers SCO,20/21,11250000,21,10700000,16,-550000,Ligue1
Stade Reims,20/21,11200000,14,17000000,14,5800000,Ligue1
AS Saint-?tienne,20/21,5600000,29,44100000,26,38500000,Ligue1
FC Nantes,20/21,5000000,16,2000000,14,-3000000,Ligue1
FC Girondins Bordeaux,20/21,0,20,17000000,14,17000000,Ligue1
Paris Saint-Germain,21/22,91000000,34,11000000,19,-80000000,Ligue1
Stade Rennais FC,21/22,81500000,28,45650000,20,-35850000,Ligue1
OGC Nice,21/22,55000000,29,26050000,26,-28950000,Ligue1
Olympique Marseille,21/22,54120000,27,7500000,27,-46620000,Ligue1
AS Monaco,21/22,45500000,29,34640000,24,-10860000,Ligue1
LOSC Lille,21/22,25600000,19,76160000,17,50560000,Ligue1
Olympique Lyon,21/22,22920000,26,95600000,18,72680000,Ligue1
ESTAC Troyes,21/22,21800000,29,0,27,-21800000,Ligue1
RC Lens,21/22,20600000,24,18000000,19,-2600000,Ligue1
Stade Reims,21/22,16000000,30,15050000,17,-950000,Ligue1
FC Lorient,21/22,10500000,20,10000000,17,-500000,Ligue1
FC Girondins Bordeaux,21/22,9800000,27,18600000,28,8800000,Ligue1
Stade Brestois 29,21/22,9500000,15,28200000,18,18700000,Ligue1
FC Nantes,21/22,7500000,14,15800000,18,8300000,Ligue1
RC Strasbourg Alsace,21/22,4500000,22,16000000,22,11500000,Ligue1
FC Metz,21/22,2500000,32,21500000,23,19000000,Ligue1
Angers SCO,21/22,1870000,16,18100000,15,16230000,Ligue1
AS Saint-?tienne,21/22,600000,16,0,19,-600000,Ligue1
Montpellier HSC,21/22,200000,13,25000000,16,24800000,Ligue1
Clermont Foot 63,21/22,0,24,0,18,0,Ligue1
Paris Saint-Germain,22/23,147500000,41,59300000,35,-88200000,Ligue1
Olympique Marseille,22/23,115400000,34,37480000,34,-77920000,Ligue1
OGC Nice,22/23,84000000,34,44400000,30,-39600000,Ligue1
Stade Rennais FC,22/23,80500000,30,95000000,23,14500000,Ligue1
AS Monaco,22/23,43500000,26,157000000,24,113500000,Ligue1
RC Lens,22/23,38350000,24,51590000,18,13240000,Ligue1
Olympique Lyon,22/23,32450000,28,78850000,23,46400000,Ligue1
FC Lorient,22/23,30200000,37,39350000,30,9150000,Ligue1
LOSC Lille,22/23,26000000,18,101500000,17,75500000,Ligue1
ESTAC Troyes,22/23,24800000,31,10000000,31,-14800000,Ligue1
Stade Reims,22/23,16100000,37,28800000,32,12700000,Ligue1
FC Toulouse,22/23,14000000,22,11000000,16,-3000000,Ligue1
FC Nantes,22/23,12450000,20,0,17,-12450000,Ligue1
Montpellier HSC,22/23,9500000,17,10000000,16,500000,Ligue1
RC Strasbourg Alsace,22/23,7000000,23,10900000,18,3900000,Ligue1
Angers SCO,22/23,6000000,26,37000000,20,31000000,Ligue1
Stade Brestois 29,22/23,5350000,22,2100000,24,-3250000,Ligue1
Clermont Foot 63,22/23,2300000,30,21400000,27,19100000,Ligue1
AJ Auxerre,22/23,1750000,31,500000,24,-1250000,Ligue1
AC Ajaccio,22/23,300000,16,600000,14,300000,Ligue1
